PlayerID,PlayerName,Age,JerseyNo,Role,BattingRating,BowlingRating
1001,Virat Kohli,37,18,Batsman,95,20
1002,Rajat Patidar,33,97,Batsman,90,15
1003,Devdutt Padikkal,26,31,Batsman,86,10
1004,Tim David,30,19,Batsman,88,25
1005,Phil Salt,29,28,Wicketkeeper,91,10
1006,Jitesh Sharma,33,17,Wicketkeeper,85,5
1007,Jacob Bethell,23,16,All-rounder,88,82
1008,Krunal Pandya,35,24,All-rounder,78,86
1009,Venkatesh Iyer,31,26,All-rounder,84,78
1010,Romario Shepherd,31,23,All-rounder,76,80
1011,Josh Hazlewood,35,95,Bowler,20,96
1012,Bhuvneshwar Kumar,36,15,Bowler,25,91
1013,Yash Dayal,29,21,Bowler,15,87
1014,Suyash Sharma,23,30,Bowler,10,89
1015,Jacob Duffy,31,50,Bowler,12,92
